COMPANY_CODE,STATE_CODE,PROGRAM_CODE,LINE_OF_BUSINESS,CITY,COUNTY_CODE,ZIP_CODE,LastOfADDRESS_LINE,LastOfCITY,LastOfSTATE_CODE,LastOfZIP_CODE,LastOfCOUNTY_CODE,PREMIUM_GROUP,TERRITORY_1_CODE
60,AL,R,25,Cardiff,073,35041,,,,,,,1
60,AL,R,25,Carlton,025,36515,,,,,,,1
60,AL,R,25,Carrollton,107,35447,672 MCDANIEL PATE RD,CARROLLTON,AL,35447,107,,1
60,AL,R,25,Castleberry,035,36432,52 JOHNSONVILLE CIR,CASTLEBERRY,AL,36432,035,,1
60,AL,R,25,Castleberry,053,36432,1001 COOPER CEMETERY RD,CASTLEBERRY,AL,36432,053,,1
60,AL,R,25,Catherine,131,36728,,,,,,,1
60,AL,R,25,Cecil,087,36013,,,,,,,1
60,AL,R,25,Cecil,101,36013,1320 BARGANIER RD,CECIL,AL,36013,101,,1
60,AL,R,25,Cedar Bluff,019,35959,3152 DYKES BRIDGE RD UNIT 303,CEDAR BLUFF,AL,35959,019,,1
60,AL,R,25,Cedar Bluff,049,35959,,,,,,,1
60,AL,R,25,Center Point,073,35215,2237 2ND ST NE,CENTER POINT,AL,35215,073,,1
60,AL,R,25,Center Point,073,35235,1236 STONECREST DR,CENTER POINT,AL,35235,073,,1
60,AL,R,25,Centre,019,35960,2250 COUNTY ROAD 63,CENTRE,AL,35960,019,,1
60,AL,R,25,Centreville,007,35042,1750 MONTEVALLO RD,CENTREVILLE,AL,35042,007,,1
60,AL,R,25,Chancellor,031,36316,,,,,,,1
60,AL,R,25,Chancellor,061,36316,1215 CAMPBELL HILL RD,CHANCELLOR,AL,36316,061,,1
60,AL,R,25,Chatom,129,36518,2140 COUNTY ROAD 1,CHATOM,AL,36518,129,,1
60,AL,R,25,Chelsea,117,35043,113 RIVER BIRCH RD,CHELSEA,AL,35043,117,,1
60,AL,R,25,Cherokee,033,35616,60 PLAZA CT,CHEROKEE,AL,35616,033,,1
60,AL,R,25,Chickasaw,097,36611,354 JACONA ST,CHICKASAW,AL,36611,097,,2
60,AL,R,25,Childersburg,121,35044,1300 COOSA PINES DR,CHILDERSBURG,AL,35044,121,,1
60,AL,R,25,Chunchula,097,36521,9230 CHUNCHULA GEORGETOWN RD,CHUNCHULA,AL,36521,097,,2
60,AL,R,25,Citronelle,097,36522,10715 BAYLEAF DR,CITRONELLE,AL,36522,097,,2
60,AL,R,25,Citronelle,129,36522,,,,,,,1
60,AL,R,25,Clanton,021,35045,1003 TRILLIAM LANE,CLANTON,AL,35045,021,,1
60,AL,R,25,Clanton,021,35046,8173 COUNTY ROAD 51,CLANTON,AL,35046,021,,1
60,AL,R,25,Clanton,037,35046,124 CEDAR CIR,CLANTON,AL,35046,037,,1
60,AL,R,25,Clayton,005,36016,3106 HIGHWAY 131,CLAYTON,AL,36016,005,,1
60,AL,R,25,Cleveland,009,35049,165 BLACKWOODS BND,CLEVELAND,AL,35049,009,,1
60,AL,R,25,Clio,005,36017,3370 ELAMVILLE ST,CLIO,AL,36017,005,,1
60,AL,R,25,Clopton,005,36317,,,,,,,1
60,AL,R,25,Clopton,045,36317,,,,,,,1
60,AL,R,25,Clopton,067,36317,2343 COUNTY ROAD 216,CLOPTON,AL,36317,067,,1
60,AL,R,25,Coalburg,073,35068,3350 STONEY BROOK TRL APT 205,COALBURG,AL,35068,073,,1
60,AL,R,25,Coaling,125,35453,15566 HAGLER DR,COALING,AL,35453,125,,1
60,AL,R,25,Coatopa,119,35470,,,,,,,1
60,AL,R,25,Coden,097,36523,15778 DAUPHIN ISLAND PKWY,CODEN,AL,36523,097,,2
60,AL,R,25,Coffee Springs,031,36318,89 COUNTY ROAD 679,COFFEE SPRINGS,AL,36318,031,,1
60,AL,R,25,Coffee Springs,061,36318,,,,,,,1
60,AL,R,25,Coffeeville,025,36524,364 BERTIE LEE LN,COFFEEVILLE,AL,36524,025,,1
60,AL,R,25,Coker,125,35452,13260 LAKE ARNEDRA CIR,COKER,AL,35452,125,,1
60,AL,R,25,Collinsville,019,35961,3895 COUNTY ROAD 1,COLLINSVILLE,AL,35961,019,,1
60,AL,R,25,Collinsville,049,35961,199 WATTS DR LOT 38,COLLINSVILLE,AL,35961,049,,1
60,AL,R,25,Collinsville,055,35961,,,,,,,1
60,AL,R,25,Columbia,067,36319,10704 GEORGE H GRIMSLEY HWY,COLUMBIA,AL,36319,067,,1
60,AL,R,25,Columbia,069,36319,107 OAKLEY DR,COLUMBIA,AL,36319,069,,1
60,AL,R,25,Columbiana,117,35051,119 PERKINS PT,COLUMBIANA,AL,35051,117,,1
60,AL,R,25,Coosa Pines,121,35044,,,,,,,1
60,AL,R,25,Coosada,051,36020,5050 COOSADA RD,COOSADA,AL,36020,051,,1
60,AL,R,25,Cordova,127,35550,320 MOUNTAIN VIEW RD,CORDOVA,AL,35550,127,,1
60,AL,R,25,Cottondale,125,35453,6404 EBBETS CIR,COTTONDALE,AL,35453,125,,1
